Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:23:24.977000,LEC,16,,1.0,1.0,0 days 00:21:25.144000,,,0 days 00:00:47.783000,0 days 00:00:37.692000,,0 days 00:22:47.329000,0 days 00:23:24.977000,211.0,223.0,286.0,189.0,False,SOFT,1.0,True,Ferrari,0 days 00:21:25.144000,2022-03-19 15:06:26.073,1,,False,,False,False
0 days 00:24:56.448000,LEC,16,,2.0,1.0,,,0 days 00:00:29.367000,0 days 00:00:39.067000,0 days 00:00:23.037000,0 days 00:23:54.344000,0 days 00:24:33.411000,0 days 00:24:56.448000,241.0,269.0,286.0,314.0,True,SOFT,2.0,True,Ferrari,0 days 00:23:24.977000,2022-03-19 15:08:25.906,1,,False,,False,True
0 days 00:26:49.497000,LEC,16,,3.0,1.0,,0 days 00:26:47.694000,0 days 00:00:35.658000,0 days 00:00:49.179000,0 days 00:00:28.212000,0 days 00:25:32.106000,0 days 00:26:21.285000,0 days 00:26:49.497000,190.0,231.0,,247.0,False,SOFT,3.0,True,Ferrari,0 days 00:24:56.448000,2022-03-19 15:09:57.377,1,,False,,False,False
0 days 00:44:52.882000,LEC,16,,4.0,2.0,0 days 00:43:05.158000,,,0 days 00:00:45.919000,0 days 00:00:29.579000,,0 days 00:44:23.345000,0 days 00:44:52.909000,215.0,218.0,286.0,192.0,False,SOFT,4.0,False,Ferrari,0 days 00:26:49.497000,2022-03-19 15:11:50.426,1,,False,,False,False
0 days 00:46:24.238000,LEC,16,,5.0,2.0,,,0 days 00:00:29.413000,0 days 00:00:39.065000,0 days 00:00:22.878000,0 days 00:45:22.295000,0 days 00:46:01.360000,0 days 00:46:24.238000,239.0,270.0,286.0,315.0,True,SOFT,5.0,False,Ferrari,0 days 00:44:52.882000,2022-03-19 15:29:53.811,1,,False,,False,True
0 days 00:48:11.172000,LEC,16,,6.0,2.0,,0 days 00:48:09.380000,0 days 00:00:33.843000,0 days 00:00:45.777000,0 days 00:00:27.314000,0 days 00:46:58.081000,0 days 00:47:43.858000,0 days 00:48:11.172000,209.0,230.0,,253.0,False,SOFT,6.0,False,Ferrari,0 days 00:46:24.238000,2022-03-19 15:31:25.167,1,,False,,False,False
0 days 00:52:57.658000,LEC,16,,7.0,3.0,0 days 00:51:08.067000,,,0 days 00:00:47.622000,0 days 00:00:28.327000,,0 days 00:52:29.349000,0 days 00:52:57.819000,219.0,209.0,286.0,185.0,False,SOFT,1.0,True,Ferrari,0 days 00:48:11.172000,2022-03-19 15:33:12.101,1,,False,,False,False
0 days 00:54:28.590000,LEC,16,,8.0,3.0,,,0 days 00:00:29.355000,0 days 00:00:38.850000,0 days 00:00:22.727000,0 days 00:53:27.013000,0 days 00:54:05.863000,0 days 00:54:28.590000,242.0,271.0,286.0,312.0,True,SOFT,2.0,True,Ferrari,0 days 00:52:57.658000,2022-03-19 15:37:58.587,1,,False,,False,True
0 days 00:56:17.533000,LEC,16,,9.0,3.0,,0 days 00:56:15.707000,0 days 00:00:34.668000,0 days 00:00:45.679000,0 days 00:00:28.596000,0 days 00:55:03.258000,0 days 00:55:48.937000,0 days 00:56:17.533000,190.0,232.0,,280.0,False,SOFT,3.0,True,Ferrari,0 days 00:54:28.590000,2022-03-19 15:39:29.519,1,,False,,False,False
0 days 01:05:57.048000,LEC,16,,10.0,4.0,0 days 01:04:09.214000,,,0 days 00:00:49.713000,0 days 00:00:25.004000,,0 days 01:05:32.072000,0 days 01:05:57.048000,219.0,214.0,288.0,190.0,False,SOFT,1.0,True,Ferrari,0 days 00:56:17.533000,2022-03-19 15:41:18.462,1,,False,,False,False
0 days 01:07:27.779000,LEC,16,,11.0,4.0,,,0 days 00:00:29.199000,0 days 00:00:38.825000,0 days 00:00:22.707000,0 days 01:06:26.247000,0 days 01:07:05.072000,0 days 01:07:27.779000,240.0,270.0,288.0,316.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:57.048000,2022-03-19 15:50:57.977,1,,False,,False,True
0 days 01:09:18.262000,LEC,16,,12.0,4.0,,0 days 01:09:16.462000,0 days 00:00:35.570000,0 days 00:00:46.102000,0 days 00:00:28.811000,0 days 01:08:03.349000,0 days 01:08:49.451000,0 days 01:09:18.262000,191.0,211.0,,241.0,False,SOFT,3.0,True,Ferrari,0 days 01:07:27.779000,2022-03-19 15:52:28.708,1,,False,,False,False
0 days 01:13:17.410000,LEC,16,,13.0,5.0,0 days 01:11:30.027000,,,0 days 00:00:46.386000,0 days 00:00:28.875000,,0 days 01:12:48.549000,0 days 01:13:17.601000,222.0,206.0,289.0,198.0,False,SOFT,1.0,True,Ferrari,0 days 01:09:18.262000,2022-03-19 15:54:19.191,1,,False,,False,False
0 days 01:14:47.968000,LEC,16,,14.0,5.0,,,0 days 00:00:29.115000,0 days 00:00:38.702000,0 days 00:00:22.741000,0 days 01:13:46.525000,0 days 01:14:25.227000,0 days 01:14:47.968000,241.0,270.0,288.0,316.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:17.410000,2022-03-19 15:58:18.339,1,,False,,False,True
0 days 01:16:49.398000,LEC,16,,15.0,5.0,,0 days 01:16:45.350000,0 days 00:00:36.213000,0 days 00:00:49.350000,0 days 00:00:35.867000,0 days 01:15:24.181000,0 days 01:16:13.531000,0 days 01:16:49.398000,190.0,190.0,,271.0,False,SOFT,3.0,True,Ferrari,0 days 01:14:47.968000,2022-03-19 15:59:48.897,12,,False,,False,False
0 days 00:20:27.962000,VER,1,,1.0,1.0,0 days 00:18:41.296000,,,0 days 00:00:48.685000,0 days 00:00:24.760000,,0 days 00:20:03.288000,0 days 00:20:27.966000,184.0,225.0,287.0,186.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:41.296000,2022-03-19 15:03:42.225,1,,False,,False,False
0 days 00:21:59.871000,VER,1,,2.0,1.0,,,0 days 00:00:29.437000,0 days 00:00:39.480000,0 days 00:00:22.992000,0 days 00:20:57.399000,0 days 00:21:36.879000,0 days 00:21:59.871000,237.0,270.0,286.0,317.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:27.962000,2022-03-19 15:05:28.891,1,,False,,False,True
0 days 00:24:18.469000,VER,1,,3.0,1.0,,,0 days 00:00:44.957000,0 days 00:01:05.838000,0 days 00:00:27.803000,0 days 00:22:44.828000,0 days 00:23:50.666000,0 days 00:24:18.469000,143.0,114.0,288.0,245.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:21:59.871000,2022-03-19 15:07:00.800,1,,False,,False,True
0 days 00:25:50.254000,VER,1,,4.0,1.0,,,0 days 00:00:29.422000,0 days 00:00:39.518000,0 days 00:00:22.845000,0 days 00:24:47.891000,0 days 00:25:27.409000,0 days 00:25:50.254000,237.0,270.0,288.0,321.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:24:18.469000,2022-03-19 15:09:19.398,1,,False,,False,True
0 days 00:27:32.198000,VER,1,,5.0,1.0,,0 days 00:27:30.411000,0 days 00:00:32.247000,0 days 00:00:42.114000,0 days 00:00:27.583000,0 days 00:26:22.501000,0 days 00:27:04.615000,0 days 00:27:32.198000,221.0,258.0,,256.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:25:50.254000,2022-03-19 15:10:51.183,1,,False,,False,False
0 days 00:44:24.478000,VER,1,,6.0,2.0,0 days 00:42:32.820000,,,0 days 00:00:50.503000,0 days 00:00:26.462000,,0 days 00:43:58.050000,0 days 00:44:24.519000,179.0,192.0,290.0,180.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:27:32.198000,2022-03-19 15:12:33.127,1,,False,,False,False
0 days 00:45:55.235000,VER,1,,7.0,2.0,,,0 days 00:00:29.028000,0 days 00:00:38.834000,0 days 00:00:22.895000,0 days 00:44:53.506000,0 days 00:45:32.340000,0 days 00:45:55.235000,239.0,271.0,288.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:44:24.478000,2022-03-19 15:29:25.407,1,,False,,False,True
0 days 00:47:41.539000,VER,1,,8.0,2.0,,0 days 00:47:39.679000,0 days 00:00:34.026000,0 days 00:00:43.650000,0 days 00:00:28.628000,0 days 00:46:29.261000,0 days 00:47:12.911000,0 days 00:47:41.539000,216.0,233.0,,255.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:45:55.235000,2022-03-19 15:30:56.164,1,,False,,False,False
0 days 01:06:14.287000,VER,1,,9.0,3.0,0 days 01:04:23.289000,,,0 days 00:00:50.618000,0 days 00:00:24.790000,,0 days 01:05:49.563000,0 days 01:06:14.316000,165.0,212.0,290.0,179.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:47:41.539000,2022-03-19 15:32:42.468,1,,False,,False,False
0 days 01:07:45.030000,VER,1,,10.0,3.0,,,0 days 00:00:28.995000,0 days 00:00:38.987000,0 days 00:00:22.761000,0 days 01:06:43.282000,0 days 01:07:22.269000,0 days 01:07:45.030000,239.0,271.0,289.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:14.287000,2022-03-19 15:51:15.216,1,,False,,False,True
0 days 01:09:31.544000,VER,1,,11.0,3.0,,0 days 01:09:29.759000,0 days 00:00:32.873000,0 days 00:00:44.261000,0 days 00:00:29.380000,0 days 01:08:17.903000,0 days 01:09:02.164000,0 days 01:09:31.544000,207.0,194.0,,266.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:07:45.030000,2022-03-19 15:52:45.959,1,,False,,False,False
0 days 01:13:44.933000,VER,1,,12.0,4.0,0 days 01:11:48.452000,,,0 days 00:00:52.576000,0 days 00:00:29.414000,,0 days 01:13:15.560000,0 days 01:13:45.091000,193.0,222.0,290.0,175.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:09:31.544000,2022-03-19 15:54:32.473,1,,False,,False,False
0 days 01:15:15.614000,VER,1,,13.0,4.0,,,0 days 00:00:28.970000,0 days 00:00:38.832000,0 days 00:00:22.879000,0 days 01:14:13.903000,0 days 01:14:52.735000,0 days 01:15:15.614000,239.0,271.0,289.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:44.933000,2022-03-19 15:58:45.862,1,,False,,False,True
0 days 01:17:12.228000,VER,1,,14.0,4.0,,0 days 01:17:08.602000,0 days 00:00:37.699000,0 days 00:00:45.288000,0 days 00:00:33.627000,0 days 01:15:53.313000,0 days 01:16:38.601000,0 days 01:17:12.228000,202.0,233.0,,203.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:15:15.614000,2022-03-19 16:00:16.543,12,,False,,False,False
0 days 00:23:35.872000,SAI,55,,1.0,1.0,0 days 00:21:28.593000,,,0 days 00:00:48.149000,0 days 00:00:46.793000,,0 days 00:22:49.154000,0 days 00:23:35.889000,207.0,210.0,287.0,187.0,False,SOFT,1.0,True,Ferrari,0 days 00:21:28.593000,2022-03-19 15:06:29.522,1,,False,,False,False
0 days 00:25:07.439000,SAI,55,,2.0,1.0,,,0 days 00:00:29.394000,0 days 00:00:39.218000,0 days 00:00:22.955000,0 days 00:24:05.266000,0 days 00:24:44.484000,0 days 00:25:07.439000,240.0,268.0,287.0,315.0,True,SOFT,2.0,True,Ferrari,0 days 00:23:35.872000,2022-03-19 15:08:36.801,1,,False,,False,True
0 days 00:27:04.319000,SAI,55,,3.0,1.0,,0 days 00:27:02.541000,0 days 00:00:38.745000,0 days 00:00:49.485000,0 days 00:00:28.650000,0 days 00:25:46.184000,0 days 00:26:35.669000,0 days 00:27:04.319000,124.0,206.0,,243.0,False,SOFT,3.0,True,Ferrari,0 days 00:25:07.439000,2022-03-19 15:10:08.368,1,,False,,False,False
0 days 00:44:58.391000,SAI,55,,4.0,2.0,0 days 00:43:11.405000,,,0 days 00:00:47.193000,0 days 00:00:26.867000,,0 days 00:44:31.566000,0 days 00:44:58.433000,216.0,231.0,287.0,189.0,False,SOFT,4.0,False,Ferrari,0 days 00:27:04.319000,2022-03-19 15:12:05.248,1,,False,,False,False
